Time_Seconds,Sensor_Name,Sensor_ID,Watts
0.003,CPU Package,/intelcpu/0/power/0,18.118572235107422
0.003,CPU Cores,/intelcpu/0/power/1,12.168577194213867
0.003,CPU Memory,/intelcpu/0/power/3,0.0
0.003,CPU Platform,/intelcpu/0/power/4,0.0
0.003,GPU Power,/gpu-intel-integrated/%5C%5C%3F%5CPCI%23VEN_8086%26DEV_46A8%26SUBSYS_8A20103C%26REV_0C%233%2611583659%262%2610%23%7B1ca05180-a699-450a-9a0c-de4fbe3ddd89%7D/power/0,0.009425109252333641
0.557,CPU Package,/intelcpu/0/power/0,15.99061393737793
0.557,CPU Cores,/intelcpu/0/power/1,9.778748512268066
0.557,CPU Memory,/intelcpu/0/power/3,0.0
0.557,CPU Platform,/intelcpu/0/power/4,0.0
0.557,GPU Power,/gpu-intel-integrated/%5C%5C%3F%5CPCI%23VEN_8086%26DEV_46A8%26SUBSYS_8A20103C%26REV_0C%233%2611583659%262%2610%23%7B1ca05180-a699-450a-9a0c-de4fbe3ddd89%7D/power/0,0.007605207618325949
1.072,CPU Package,/intelcpu/0/power/0,18.30817222595215
1.072,CPU Cores,/intelcpu/0/power/1,10.047660827636719
1.072,CPU Memory,/intelcpu/0/power/3,0.0
1.072,CPU Platform,/intelcpu/0/power/4,0.0
1.072,GPU Power,/gpu-intel-integrated/%5C%5C%3F%5CPCI%23VEN_8086%26DEV_46A8%26SUBSYS_8A20103C%26REV_0C%233%2611583659%262%2610%23%7B1ca05180-a699-450a-9a0c-de4fbe3ddd89%7D/power/0,0.008731852285563946
1.553,CPU Package,/intelcpu/0/power/0,16.183879852294922
1.553,CPU Cores,/intelcpu/0/power/1,13.921930313110352
1.553,CPU Memory,/intelcpu/0/power/3,0.0
1.553,CPU Platform,/intelcpu/0/power/4,0.0
1.553,GPU Power,/gpu-intel-integrated/%5C%5C%3F%5CPCI%23VEN_8086%26DEV_46A8%26SUBSYS_8A20103C%26REV_0C%233%2611583659%262%2610%23%7B1ca05180-a699-450a-9a0c-de4fbe3ddd89%7D/power/0,0.007266652304679155
2.074,CPU Package,/intelcpu/0/power/0,15.787505149841309
2.074,CPU Cores,/intelcpu/0/power/1,10.873212814331055
2.074,CPU Memory,/intelcpu/0/power/3,0.0
2.074,CPU Platform,/intelcpu/0/power/4,0.0
2.074,GPU Power,/gpu-intel-integrated/%5C%5C%3F%5CPCI%23VEN_8086%26DEV_46A8%26SUBSYS_8A20103C%26REV_0C%233%2611583659%262%2610%23%7B1ca05180-a699-450a-9a0c-de4fbe3ddd89%7D/power/0,0.00915960967540741
2.582,CPU Package,/intelcpu/0/power/0,16.873035430908203
2.582,CPU Cores,/intelcpu/0/power/1,11.332047462463379
2.582,CPU Memory,/intelcpu/0/power/3,0.0
2.582,CPU Platform,/intelcpu/0/power/4,0.0
2.582,GPU Power,/gpu-intel-integrated/%5C%5C%3F%5CPCI%23VEN_8086%26DEV_46A8%26SUBSYS_8A20103C%26REV_0C%233%2611583659%262%2610%23%7B1ca05180-a699-450a-9a0c-de4fbe3ddd89%7D/power/0,0.007473130710422993
3.104,CPU Package,/intelcpu/0/power/0,15.23841381072998
3.104,CPU Cores,/intelcpu/0/power/1,12.055717468261719
3.104,CPU Memory,/intelcpu/0/power/3,0.0
3.104,CPU Platform,/intelcpu/0/power/4,0.0
3.104,GPU Power,/gpu-intel-integrated/%5C%5C%3F%5CPCI%23VEN_8086%26DEV_46A8%26SUBSYS_8A20103C%26REV_0C%233%2611583659%262%2610%23%7B1ca05180-a699-450a-9a0c-de4fbe3ddd89%7D/power/0,0.010306743904948235
3.554,CPU Package,/intelcpu/0/power/0,14.696797370910645
3.554,CPU Cores,/intelcpu/0/power/1,10.830286026000977
3.554,CPU Memory,/intelcpu/0/power/3,0.0
3.554,CPU Platform,/intelcpu/0/power/4,0.0
3.554,GPU Power,/gpu-intel-integrated/%5C%5C%3F%5CPCI%23VEN_8086%26DEV_46A8%26SUBSYS_8A20103C%26REV_0C%233%2611583659%262%2610%23%7B1ca05180-a699-450a-9a0c-de4fbe3ddd89%7D/power/0,0.018858563154935837
4.067,CPU Package,/intelcpu/0/power/0,17.66131019592285
4.067,CPU Cores,/intelcpu/0/power/1,13.813236236572266
4.067,CPU Memory,/intelcpu/0/power/3,0.0
4.067,CPU Platform,/intelcpu/0/power/4,0.0
